
儿歌,#genre#
都市剧场,http://[2001:250:5405:13::47]/hls/hls185a95.m3u8
生活时尚,http://[2001:250:5405:13::47]/hls/hls184a91.m3u8
法治天地,http://[2001:250:5405:13::47]/hls/hls184a89.m3u8
欢笑剧场,http://[2001:250:5405:13::47]/hls/hls185a97.m3u8
BTV文艺,http://[2001:250:5405:13::47]/hls/btv2hd.m3u8
BTV科教,http://[2001:250:5405:13::47]/hls/btv3hd.m3u8
BTV影视,http://[2001:250:5405:13::47]/hls/btv4hd.m3u8
BTV财经,http://[2001:250:5405:13::47]/hls/btv5hd.m3u8
BTV生活,http://[2001:250:5405:13::47]/hls/btv7hd.m3u8
BTV青年,http://[2001:250:5405:13::47]/hls/btv8hd.m3u8
BTV新闻,http://[2001:250:5405:13::47]/hls/btv9hd.m3u8
冬奥纪实,http://[2001:250:5405:13::47]/hls/hls69a25.m3u8
世界地理,http://[2001:250:5405:13::47]/hls/hls184a515.m3u8
第一剧场,http://[2001:250:5405:13::47]/hls/hls184a512.m3u8
风云足球,http://[2001:250:5405:13::47]/hls/hls184a510.m3u8
风云剧场,http://[2001:250:5405:13::47]/hls/hls184a516.m3u8
风云音乐,http://[2001:250:5405:13::47]/hls/hls184a519.m3u8
怀旧剧场,http://[2001:250:5405:13::47]/hls/hls184a518.m3u8
兵器科技,http://[2001:250:5405:13::47]/hls/hls184a573.m3u8
女性时尚,http://[2001:250:5405:13::47]/hls/hls184a522.m3u8
文化精品,http://[2001:250:5405:13::47]/hls/hls184a520.m3u8
央视台球,http://[2001:250:5405:13::47]/hls/hls184a574.m3u8


全纪实,http://111.20.105.60:6060/yinhe/2/ch00000090990000002157/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
金鹰纪实,http://111.20.105.60:6060/yinhe/2/ch00000090990000001699/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
都市剧场,http://111.20.105.60:6060/yinhe/2/ch00000090990000002108/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
极速汽车,http://111.20.105.60:6060/yinhe/2/ch00000090990000002263/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
